wavelength,beta_logreg,abs_beta_logreg
1000.0,0.11801048639398759,0.11801048639398759
998.0,0.11760075578085877,0.11760075578085877
996.0,0.11514371532858123,0.11514371532858123
1002.0,0.11501866566953843,0.11501866566953843
972.0,0.11449104030253132,0.11449104030253132
1020.0,0.11350372575499156,0.11350372575499156
974.0,0.11297959539212653,0.11297959539212653
970.0,0.11256318344989809,0.11256318344989809
994.0,0.1113915501908474,0.1113915501908474
976.0,0.10838729091452724,0.10838729091452724
968.0,0.10767893551324614,0.10767893551324614
1004.0,0.10709353859046646,0.10709353859046646
992.0,0.10665906994042508,0.10665906994042508
940.0,0.10256957922797308,0.10256957922797308
938.0,0.10255250643313968,0.10255250643313968
