source_id,ra,dec
4049114675190545024,271.73707303968104,-31.328461197465884
4049114675190545152,271.7368933153396,-31.339125814043367
4049114713697855872,271.7627828890131,-31.336437198943376
4049114782420095232,271.75502663845265,-31.321683825235286
4049114782437409408,271.7547037078565,-31.319773649542643
4049114782437409536,271.7548534858452,-31.3196689353046
4049114812626092928,271.7642088492181,-31.311816437464866
4049114812626093056,271.76361950792835,-31.314124841977996
4049114812626097152,271.76309877864946,-31.314980177079324
4049114812626109568,271.7604609257402,-31.318018428351508
4049114812626112000,271.7591102150603,-31.30944630454818
4049114812626283776,271.75952678827815,-31.31236574630252
